Author,Article title,Issue,Date,Subject location,Subject keywords
"Thomas, Ned",The George Thomas era,1,Aug-1970,Wales;Scotland;,socialism;nationalism;
"Evans, Trefor E.",Peace-keeping and keeping the peace,1,Aug-1970,Middle east;,United Nations;peacekeeping;
"Morgan, Edwin",Can the thistle change its spots,1,Aug-1970,Scotland;,
"Iwan, Dafydd",What I understand by conservation,1,Aug-1970,Wales;,culture;
"Kelly, Tony",Islands of freedom,1,Aug-1970,,commune movement
"Jones, Gwyn","Jack Jones, May 1970",1,Aug-1970,,"Jones, Jack;"
"Tripp, John",The monster in Glamorgan,1,Aug-1970,Port Talbot;,steel industry;
"Hartmut, Leonard",Verdi and the nationa spirit,1,Aug-1970,,"Verdi, Guiseppe;music;"
"David, Rhys",Future of the Welsh Office,1,Aug-1970,,Eye on Wales (series);Welsh Office;
"Tomkins, C.R.",Constructing social accounts,1,Aug-1970,Wales;,Eye on Wales (series);social accounting;
"Williams, John Stuart",Rugby ritual and protest,1,Aug-1970,Wales;,Eye on Wales (series);rugby;
"Ellis, T.I.",Motoring in Cardiganshire,1,Aug-1970,Ceredigion;,Eye on Wales (series);
"Davies, Elwyn",Fly,1,Aug-1970,,poem;
"Ewart, Gavin",South Wales steel,1,Aug-1970,,poem;
"Garlick, Raymond",Judgement day,1,Aug-1970,,poem;
"Jones, T. Gwynn",Can y medd,1,Aug-1970,,poem;
"Jones, T. Gwynn",Song of the Mead (tr. Gwyn Williams),1,Aug-1970,,poem;
"Thomas, R.S.",farm-hand,1,Aug-1970,,poem;
"Thomas, R.S.",Welsh resort,1,Aug-1970,,poem;
"Williams, Gwyn",Song of the mead (tr.),1,Aug-1970,,poem;
"Thomas, Ned",The future of broadcasting,2,Oct-1970,Wales;,"broadcasting;future of broadcasting, the (symposium);"
"Davies, Aneirin Talfan",The future of broadcasting,2,Oct-1970,,"broadcasting;future of broadcasting, the (symposium);"
"Vaughan, Aled",The future of broadcasting,2,Oct-1970,,"broadcasting;future of broadcasting, the (symposium);"
"Llewelyn, Emyr",The future of broadcasting,2,Oct-1970,,"broadcasting;future of broadcasting, the (symposium);"
"Howell, Gareth",The future of broadcasting,2,Oct-1970,,"broadcasting;future of broadcasting, the (symposium);"
"David, Rhys",The future of broadcasting,2,Oct-1970,,"broadcasting;future of broadcasting, the (symposium);"
"Morgan, Dyfnallt",The future of broadcasting,2,Oct-1970,,"broadcasting;future of broadcasting, the (symposium);"
"Serant, Paul",The rise of French regionalism,2,Oct-1970,France;,regionalism;
"Thomas, Ned",The chains around my feet (Kate Roberts),2,Oct-1970,,translation;
"Jones, Bobi",Why I write in Welsh,2,Oct-1970,,Welsh language;
"Wilson, Alistair",The sweet habit of the blood,2,Oct-1970,Aberdare;,
"Carnegy, Patrick",The limited revolution in Wagner production,2,Oct-1970,,"Wagner, Richard;"
"Finsh, Peter",The small press scene,2,Oct-1970,,small press publications;
"Morgan, Derec Llwyd",Dr Kate Roberts,2,Oct-1970,,"Roberts, Kate;"
"Jones, Selwyn",Ivander Griffiths and the Eisteddfod abroad,2,Oct-1970,,"eisteddfodau;Griffiths, Ivander;"
"Francis, Dai",Valley,2,Oct-1970,,
"Roberts, Hywel",The commercial radio line up,2,Oct-1970,Wales;,"Eye on Wales (series);broadcasting;radio, commercial"
"Madgwick, Peter",Cardiganshire politics,2,Oct-1970,,Eye on Wales (series);
"Griffiths, Non;Griffiths, Non",Cardiganshire politics,2,Oct-1970,Ceredigion;,Eye on Wales (series);
"Thomas, Elfyn",Bryncroes and the future of the rural school,2,Oct-1970,Bryncroes;,Eye on Wales (series);
"Thomas, John",Welsh language press survey,2,Oct-1970,,Eye on Wales (series);Welsh language;press;
"Williams, Diana Gruffydd",Guide to Welsh London,2,Oct-1970,London,Eye on Wales (series);Welsh London;
"Abse, Dannie",The case,2,Oct-1970,,poem;
