Author,Article title,Issue,Date,Subject location,Subject keywords,URL
"Jenkins, Nigel",The old central library: a Swansea performance,200,Nov-10,Swansea,theatre;libraries,
"Bala, Iwan",We have the plans...Mostyn and Plas-Glyn-Weddw,200,Nov-10,Llandudno;Llanbedrog,art;galleries;exhibitions,
"Stephens, Meic",Industrial monuments,200,Nov-10,Trefforest,industry;tin working;Royal Commission for ancient and HIstoric Monuments Wales,
"Evans, Neil;Day, Graham;Aull Davies, Charlotte",The exchange: understanding Wales,200,Nov-10,,sociology;devolution,
"Minhinnick, Robert","A cancerous culture: the ""LitBiz""",200,Nov-10,Saskatchewan;Porthcawl;British Columbia;Gaza;Baghdad;Afghanistan;Jerusalem;Tibet,literature;publishing,
"Thomas, Colin",Heroes and the Iron Pen of History: Robert Morton Stanley,200,Nov-10,Denbigh;Congo;Nigeria,exploration;colonialism;television;theatre,
"Williams, Teleri",As others see us: an Occitan voyage through Wales,200,Nov-10,Languedoc;Cardiff;Ebbw Vale;Aberystwyth,travel writing;minority languages;language,
"Fraga, Xesus",The fate of small magazines,200,Nov-10,Galicia,publishing;magazines;small nations,
"Trahair, Emily",The Welsh Extremist Revisited: a culture in crisis?,200,Nov-10,Aberystwyth;Liverpool;Nicaragua;Holy Well;Korea;Vietnam;Iraq,Ned Thomas;language;bilingualism;minority languages;protest,
"Dialectic, Dai",Dai Dialelctic: The Planet Cartoon,200,Nov-10,,satire;cartoons,
"Prys, Dafydd",Green Man 2010: a photo essay,200,Nov-10,Glanusk,photography;music;festivals,
"Carlin, Patrick",Banking the book and romancing the rose: Catalonia's Sant JOrdi,200,Nov-10,Catalonia;Barcelona,books;festivals;language;minority languages,
"Fraser Williams, John",Mizoram: the land that Wales forgot: missionaries in INdia,200,Nov-10,Mizoram;India,Christianity;missionaries;language;colonialism,
Ceridwen Lloyd-Morgan,[Merch],200,Nov-10,Aberystwyth,women;Welsh Keywords (series);,
"Finch, Peter",Tick box,200,Nov-10,,poem;,poem;
"Curtis, Tony",Workshop,200,Nov-10,,poem;,poem;
"Williams, Philip",True properties of wood,200,Nov-10,,poem;,poem;
"Davies, Damian Walford",St Anthony,200,Nov-10,,poem;,poem;
"Lawrence, Huw",The perfect boy,200,Nov-10,,short story;,
"Petro, Pamela",The Grand Canyon's great unconformity,202,May-11,Grand Canyon;Arizona,art;geography;geology,
"Davies, Lewis",Who murdered Agnes Lal? a work in progress,202,May-11,Cardigan;Kolkata;Bangalore;London;Cartagena,drama;literature,
"Gower, Jon",Sothern attraction: y Wladfa's abiding appeal,202,May-11,Argentina;Patagonia;Port Madryn;Chubut;,language;literature;travel writing,
"Griffiths, Niall",Birds of prey I have known and loved,202,May-11,Wales;England;Cornwall;Australia;,birds of prey;ecology;literature,
"Adams, Susan",There are receivers in the woods,202,May-11,MOMA Machynlleth,art;sculpture;exhibitions,
"Moore, David",Art for Wales,202,May-11,MOMA Machynlleth;Cardiff;Newport;Swansea;,art;Contemporary Art Society for Wales;,
"Morris, Keith",A decade in the Barn Centre: a photo essay,202,May-11,Aberystwyth,art;studios,
"Thomas, Colin",Stepping out of the frame,202,May-11,Cardiff;,art;television;documentary;cinema,
"Flay, Claire",The Library of Wales,202,May-11,,books;publishing;,
"Donahaye, Jasmine",The Planet interview: Matthew Rhys,202,May-11,Patagonia;Trevelyn;Minnesota;New Zealand;Australia;,cinema;travel writing,
"Hirst, Nicholas",Counting the cost of divorce: the case of Belgium,202,May-11,Belgium;,divorce;law,
"Jones, Rhys",Mapping referenda,202,May-11,Monmouthshire;,referenda;devolution,
"Jarrett, Nigel","Keep me in temper, sweet heaven, the intriguing case of Mark W.",202,May-11,Bremerhaven;Germany;South Downs;Northumbria;,war;Freud;aircraft;psychology;coalmining,
"Leigh, Sue","Dream, Mametz Wood",202,May-11,,poem;,poem;
"Henry, Paul",Naming the cast,202,May-11,,poem;,poem;
"Davies, Damian Walford",Manual,202,May-11,,poem;,poem;
"Davies, Damian Walford","Mummies, Tuscan churches",202,May-11,,poem;,poem;
"Davies, Damian Walford",Swallows,202,May-11,,poem;,poem;
"Davies, Damian Walford",Art lecture,202,May-11,,poem;,poem;
"Dressel, Jon",Raymond Garlick 1926-2011,202,May-11,,"Garlick, Raymond;obituary",
"Lewis, Saunders;Edwards, Elizabeth",1962: the Fate of the Language,203,Aug-11,Wales;England;Liverpool;Caernarfon;Switzerland;Ghent;Louvain;Belgium;Patagonia;Capel Celyn;Cardiff;Llangennech;Llanelli,language;Welsh language;translation,
"Von Rothkirch, Alyce",The future of research on Wales,203,Aug-11,Wales,education;research;funding;HEFCW,
"Thomas, M. Wynn",Worlds on worlds,203,Aug-11,Germany;Anglesey;Ruhr;Salamanca;Moscow;Russia;Spain;Barcelona;Cardiff;Llwynypiod,Ned Thomas;books;Planet;Y Byd,
"Dix, Hywel",Dai Smith in the Frame,203,Aug-11,Tonypandy;Coedely;Caerau;Pontypridd;,Dai Smith;books,
"Pendry, Helen",There is no revolution without song,203,Aug-11,Chile;Bolivia;Venezuela;Nicaragua;Ecudor;Quechua;France;Colombia;Peru;Brazil;Machynlleth,El sueno existe;festivals;music;politics,
"Price-Owen, Anne",Clive Hicks-Jenkins,203,Aug-11,,art;,
"Evans, Tim",The Llanelli Riots,203,Aug-11,Llanelli,riots;politics,
"Williams, Hayden",Maori stories for Wales: cultural displacement,203,Aug-11,Sully;Barry;New Zealand;,language;bilingualism;minority languages;storytelling;folklore,
"Slocombe, Will",Living on borderlines: personality disorders,203,Aug-11,,mental health;psychiatry,
"Morgan, Clare",Excavating the past: travel writing,203,Aug-11,Wales;England,travel writing;books,
"Stewart, James",Leo Abse stories,203,Aug-11,Westminster;Egypt;Cardiff,books;publishing,
"Trezise, Rachel",Death of Glory? The Passion in Port Talbot,203,Aug-11,Port Talbot;Aberavon;,theatre;performance;Jesus Christ;Easter;,
"Gholson, Christien ",Writing on an empty street,203,Aug-11,,poem;,poem;
"Gholson, Christien",Hanging from the top brannch behind an empty house,203,Aug-11,,poem;,poem;
"Slocombe, Will",Diagnosis,203,Aug-11,,poem;,poem;
"Rhydderch, Francesca ",The wake,203,Nov-11,,short story;,
"Lavery, Brian ",Part of the union,203,Nov-11,,short story;,
"Walford Davies, Jason",To see oursels as others see us' Alex Salmond interviewed,204,Nov-11,Scotland,politics;independence,
"Jones, Huw David",The National Museum of Art,204,Nov-11,Cardiff;National Museum of Wales,art;museums,
"Evans, Neil",All in it together?,204,Nov-11,Birmingham;Scotland;London;Brixton;Liverpool;Tonypandy;Manchester;Llanelli;Cardiff;Swansea;Llanrumney;Roath,riots;politics,
"Greenslade, David",Roses in Ukraine,204,Nov-11,Donestsk;Ukraine;Kharkov;St Petersburg;Newport;,art;,
"Wolf Kahn, Michaela","Dreaming Los Angeles - Coyotes, smore and mirrors",204,Nov-11,Los Angeles;Ireland;Mexico;Covina;Colorado River;Sacramento River;American River;,literature;geography,
"Stradling, Rob",An unexploded bomb? Britain and the Nazi-Soviet Pact 1939-41,204,Nov-11,Soviet Union;Germany;United Kingdom;Estonia;Latvia;Lithuania;Cardiff;Swansea;Spain;Finland;Bulgaria;Dunkirk,World War 2;,
"Svirsky, Marcelo",Intercultural bilingualism is political,204,Nov-11,Israel;Palestine;Acre;Lydda;Jaffa;Ramla;Jerusalem;Haifa,bilingualism;,
