Author,Article title,Issue,pp.,date,location,keyword
"Beagan, Glenda",Cofio Rhydgaled,51,,,,poem;
Canu Heledd,Chwiorydd Heledd/Heledd's sisters (tr. Gwyn Williams),51,,,,poem;
"Schwenk, Norman",The Brecon and Abergavenny canal,51,,,,poem;
"Thomas, Ned",The burning tree,51,,,,poem;
"Thomas, R.S.",Ystrad Fflur,51,,,,poem;
"Williams, Gwyn",Canu Heledd (tr._,51,,,,poem;
"Barnie, John",the janus county,51,69-9,,,
"Baxter, John",The strong arm of the state,51,12-14,,,
,,51,100-11,,Brynmawr;,
"Buchannan, Anne",A nuclear-free Pacific?,51,68-71,,Pacific ocean;,
"Davies, Brian",The Newport Chartists revisited,51,24-31,,,
"Davies, Gwen",Crafts and the Quakers at Brynmawr,51,108-11,,,
"Davies, Janet",Brynmawr - then and now,51,100-7,,,
"Dube, Janet",Touch and go,51,131-2,,,
Ffrancon,Dai Dialectic and the body politic,51,122-3,,,cartoon;
"Howells, Kim",After the strike (interview with Ned Thomas),51,6-11,,,
"Asher, P.",A bull,52,,,,poem;
"Asher, P.",Hares,52,,,,poem;
"Conran, Tony",Cafe scene in Kemper,52,,,,poem;
"Davies, John",Against travel books,52,,,,poem;
"Gwynfryn, Hywel",Miss Trydydd Byd,52,,,,poem;
,,52,25-33,,United States;,American Indians;
"Balsom, Denis",Polls apart,52,126-8,,,
"Barnie, John",Living by tourism (interview with Prys Edwards),52,5-11,,,
"Barnie, John",The long poem,52,48-51,,,
"Beagan, Glenda",North coast cultures,52,75-76,,,
"Brown, Mark",North coast cultures,52,52-65,,,
,,52,40-6,,Catalunya;,theatre;
"Clifford, Desmond",Gwynedd vs. CRE,52,123-6,,,
"Davies, John, poet",The haunted coast,52,25-33,,,
"Edwards, Hywel Teifi",Victorian Wales seeks reinstatement,52,12-24,,,
"Edwards, Prys",Living by tourism? (interview with John Barnie),52,5-11,,,
"Edwards, Richard",North coast cultures,52,72-4,,,
"Evans, Arwel Wyn",Sir Anthony Meyer,52,59-62,,,
Ffrancon,Dai Dialectic and the body politic,52,53-3,,,cartoon;
"Ffransis, Ffred",North coast cultures,52,70-2,,,
"Brown, Stewart","Dance like a butterfly, sting like a bee",53,,,,poem;
